Name,Sold,Amount,Profit,Id
Dried Broccoli Flowerets (2 oz),1183,4280.53,2718.97,10090
Dried Cabbage (1.5 oz),773,2129.35,1611.44,10120
Dried Vegetable Soup Mix (3 oz),512,2322.2,1687.32,10210
Dried Cabbage (26 lb),381,76136.72,29883.32,10128
"Dried Peppers, Mixed (2.25 oz)",373,1439.73,977.21,10050
Dried Vegetable Soup Mix (44 oz),365,17337.39,10964.49,10214
Dried Onions (4 oz),345,1583.43,1276.38,10080
Tomato Powder (6 oz),326,2417.26,1716.36,10110
Mama Mia Italian Vegetable Soup (4 oz),313,1314.94,705.99,94055
"Clear Jug, 1 Gallon Size (1 Count)",305,1514.57,816.12,90300
Freeze Dried Bananas (6 oz),305,6852.51,4589.02,50142
Dried Celery (1.5 oz),303,1121.23,890.95,10020
Dried Vegetable Soup Mix (9 oz),301,3769.5,2071.86,10212
Dried Carrots (4 oz),289,1381.96,1124.75,10010
"Dried Mushrooms, Sliced (3 oz)",289,3895.91,2023.19,10132
"Freeze Dried Strawberries, Sliced (3 oz)",286,6292.65,4057.51,50102
Organic Freeze-Dried Blueberries (5.5 oz),283,6806.27,2951.81,70182
Freeze Dried Blueberries (6 oz),266,5980.42,2915.56,50182
Chickenish Soup Mix - PLAIN (3.5 oz),260,1102,839.4,95011
Dried Tomato Dices (2 oz),248,1059.55,816.51,10150
Dehydrated Apple Chips (2 oz),242,934.56,547.48,50222
Freeze Dried Raspberries (3.5 oz),237,5431.66,2648.05,50192
Organic Dried Kale Flakes (3.15 oz),235,4253.63,3337.13,70322
Vegetable Sampler (15 ZIP Pouches),231,11986.86,6717.75,19015
Dried Onions (14 oz),225,4381.27,2804.02,10082
Black Beans (25 lbs),217,32597.41,12895.98,12046
"Berry Medley (4 Jars, Quart Size)",210,16091.79,7874.49,50116
Freeze Dried Cherries (8 oz),210,5132.55,2729.12,50362
Gourmet Soup & Chili Blend Sampler (12 ct),209,9290.89,5140.15,96050
"Dried Peppers, Mixed (10 oz)",201,3896.49,2592,10052
Dried Butternut Squash (16 oz),194,3409.84,2432.08,10292
Sliced Shiitake Mushrooms (1.75 oz.),192,3680.08,2361.04,11022
Backpacking Kit (18 ZIP Pouches),189,11892.44,7588.91,19040
Pinto Bean Flakes (3 oz),186,206.5,46.54,12200
Dried Broccoli Flowerets (8 oz),180,3522.66,2361.66,10092
Freeze Dried Apple Dices (4 oz),178,3980.18,2443.9,50122
Dried Carrots (15 oz),176,3499.24,2379.88,10012
Organic Dried Sweet Potatoes (16 oz),172,4189.02,3015.98,70222
Freeze Dried Peach Dices (2 oz),171,3351.44,2278.45,50282
TRAIL-READY Gourmet Soup & Chili Pack (18 ct),167,10440.47,6171.95,96040
Deluxe Sampler (32 ZIP Pouches),166,14915.36,7810.56,19031
Soup & Chili Mix Sampler (12 ct),161,6441.22,4055.2,96070
Value Soup Variety Pack (12 Bags),158,9834.98,6001.9,96020
Tomato Powder (5 lbs),157,11465.04,6469.3,10114
"Dried Garlic, Gourmet Minced (6 oz)",155,1058.53,753.18,10270
Freeze-Dried Mushroom Dices (1.5 oz.),151,2191.97,1720.85,60272
Dried Broccoli Flowerets (30 oz),149,6858.01,3992.74,10094
Organic Freeze-Dried Raspberries (3 oz),147,3504.56,2200.67,70192
Dried Spinach Flakes (1 oz),145,562.13,479.48,10140
"Dried Potatoes, Diced (2.25 oz)",143,414.75,310.36,10030
Dried Green Beans (2 oz),141,821.11,654.73,10070
"Dried Peppers, Mixed (36 oz)",141,6035.29,3425.38,10054
Creamy Good Corn Chowder (1.6 oz),140,535,346,94111
"Organic Vegetable Pantry Stuffer (8 Varieties, Quart Size)",140,18647.5,9763.1,79016
Freeze Dried Mangoes (4 oz),139,3085.95,1899.41,50162
Dried Jalapeno Dices (1.5 oz),138,539.92,385.36,10160
Dried Tomato Dices (8 oz),138,2410.22,1724.36,10152
Dried Celery (8 oz),137,2715.21,1891.84,10022
Flavored Plant-Based Protein Sampler (6 ZIP Pouches),130,2904.52,1886.62,29020
"Dried Potatoes, Diced (40 oz)",129,4975.72,3105.22,10034
Freeze Dried Super Sweet Corn (8 oz),123,2414.73,1546.35,60122
Dried Cabbage (24 oz),122,3406.73,2344.11,10124
"Dried Potatoes, Diced (10.5 oz)",122,1792.54,1154.48,10032
Freeze Dried Green Peas (10 oz.),122,2425.98,1451.2,60182
"Clear Jar, 1 Quart Size (1 Count)",121,355.03,230.4,90200
Organic Dried Pumpkin Dices (13 oz),121,2775.1,1693.36,70032
Organic Dried Red Beet Dices (16.5 oz),121,2979.03,2089.68,70022
Dried Sweet Peas (16 oz),119,2796.86,1802.02,10062
Black Beans (4 oz),117,314.46,197.46,12040
Dried Carrots (58 oz),116,5116.23,2912.23,10014
Organic Freeze-Dried Pineapple Dices (4 oz),114,2677.64,1567.28,70172
Tomato Powder (24 oz),114,3292.06,2240.98,10112
Dried Red Cabbage (2.2 oz),113,321.75,182.76,10320
Dried Corn (5 oz),112,652.16,428.16,10100
Dried Shallots (8 oz),112,2195.52,1474.24,10242
BACKPACKING Soup & Chili Kit (18 ct),111,6838.62,4283.4,96030
"Dried Red Bell Peppers, OG (12 oz)",111,2722.05,1933.95,70302
Great Northern Beans (25 lbs),109,16257.33,6306.72,12066
"Dried Garlic, Gourmet Minced (20 oz)",108,3069.94,1989.17,10272
Freeze-Dried Mushrooms (1.5 oz.),108,2141.14,1627.06,60262
Black Bean Flakes (2.5 oz),107,312.5,231.18,12000
Organic Freeze-Dried Apple Dices (3 oz),107,2567.55,1691.22,70122
Dried Chives (2 oz),106,1357.14,1016.88,10232
Dried Sweet Peas (4 oz),105,622.97,449.72,10060
Bean & Legume Sampler (8 ZIP Pouches),103,2776.88,1685.08,19020
Creamy Good Corn Chowder (3.25 oz.),103,814.85,568.22,94060
Organic Tomato Powder (24 oz),103,3926.91,2535.38,70112
Organic Dried Spinach Flakes (2.75 oz),102,2022.92,1652.66,70142
Black Beans (4 lbs),101,3877.1,2505.52,12044
Dried Spinach Flakes (16 oz),101,2890.13,2079.1,10144
"Dried Sweet Potatoes, Jug (64 oz)",101,5446.34,3038.5,10224
Bacon Flavored Bits (3 oz),100,292.66,207.66,22050
Black Bean Flakes (11.5 oz),98,1243.81,736.17,12002
Chicken Flavored Bits (3 oz),98,347.47,262.21,22020
Organic Dried Carrots (13.8 oz),97,2390.23,1652.06,70012
"Organic Fruit Assortment (4 Varieties, Quart Size)",97,8393.9,4472.19,79026
Dried Cabbage (8 lbs),96,9272.68,5215.72,10126
Freeze Dried Soybeans (8 oz),96,1891.2,1114.56,60242
Dried Green Beans (30 oz),95,5230.56,2961.01,10074
Mama Mia Italian Vegetable Soup (2 oz),95,462.5,353.25,94101
Beef Flavored Bits (3 oz),93,328.88,247.97,22010
Soup & Chili Mix Pantry Stuffer (12 ct),92,14838.76,7552.36,96060
Dried Carrots (40 lbs),91,23338.34,8760.14,10018
Organic Dried Onions (15.75 oz),91,2262.97,1770.66,70082
Deluxe Plant-Based Protein Sampler (12 ZIP Pouches),90,3236.4,1860.3,29040
Sausage Flavored Crumbles (3 oz),90,317.6,238.4,22070
"Vegetable Pantry Stuffer (16 Varieties, Quart Size)",90,18419.4,8901,19016
"Dried Peppers, Mixed (25 lbs)",89,21838.82,7860.07,10058
Dried Green Beans (8 oz),88,2158.2,1473.56,10072
"Mushroom Pantry Stuffer (7 Varieties, Quart Size)",87,10161.48,6193.41,11092
Southwest Style Mixed Bean Chili (5.5 oz),87,678.93,502.32,94050
"Clear ZIP Pouches, 2.5 Cup Size, Heavy Duty (50 Count)",86,1369.35,681.35,90101
Dried Butternut Squash (3 oz),86,424.22,328.76,10290
Unbelievable Black Bean Chili (5.35 oz),86,683.7,504.82,94045
Black Beans (16 oz),85,1266.27,740.97,12042
"Dried Zucchini, Diced (10 oz)",85,1671.83,1081.08,10262
Dried Tomato Dices (32 oz),82,3416.14,2171.38,10154
Dried Cabbage (6 oz),81,1037.31,782.97,10122
Dried Onions (58 oz),81,4192.63,2353.93,10084
Dried Sweet Peas (62 oz),81,4980.42,2811.24,10064
"Dried Sweet Potatoes, Jar (19.5 oz)",80,1996,1318.4,10222
Dried Jalapeno Dices (6 oz),79,1401.91,953.19,10162
Lentils (25 lbs),79,11475.7,4481.04,12016
"Dried Potatoes, Sliced (24 oz)",78,2045.44,1213.18,10044
Dried Jalapeno Dices (28 oz),77,3702.19,2262.29,10164
"Orchard Fruit Medley (4 Jars, Quart Size)",77,5776.71,3052.45,50112
Lentil Soup Mix - PLAIN (14.5 oz),76,1453.62,963.42,95042
Dried Celery (33 oz),75,3483.96,2097.21,10024
"Dried Sweet Potatoes, Zip (4.5 oz)",75,0,-123,10220
Freeze Dried Green Peas (22 lb),75,20380.98,6955.98,60188
Pinto Bean Flakes (48 oz),75,2936.3,2009.3,12204
Dried Leeks (3 oz),74,954.42,744.26,10172
"Dried Potatoes, Sliced (10 lbs)",74,5949.75,2801.79,10046
Red Beans (25 lbs),74,10876.13,4139.17,12036
Freeze Dried Papaya (3 oz),73,1460.74,937.59,50242
Freeze Dried Strawberry Powder (4 Cups / 64 Tbs),73,3518.27,1688.31,50101
"Clear ZIP Pouches, 1 Cup Size (50 Count)",71,665.45,310.45,90100
Garbanzo Beans (25 lbs),71,10255.64,3667.55,12096
Super Savory Split Pea Soup (7 oz),70,556.5,392.82,94020
"Deluxe Fruit Assortment (12 Jars, Quart Size)",69,15122.42,8037.57,50124
Garden Veggie Chickenish Soup (4.35 oz),69,548.55,410.69,94010
Pinto Bean Flakes (12 oz),69,889.67,526.04,12202
Chicken Flavored Bits (50 oz),68,2356.48,1494.24,22024
Dried Leeks (.5 oz),68,268.6,233.24,10170
Dried Spinach Flakes (4 oz),67,992.69,677.79,10142
Organic Dried Green Bell Peppers (8 oz),67,1634.25,1133.09,70312
Dried Vegetable Soup Mix (30 lbs),64,19311.6,7958,10218
Beef Flavored Bits (46 oz),63,2177.67,1228.26,22014
Pinto Beans (4 lbs),63,2398.96,1437.58,12084
Bacon Flavored Bits (14 oz),61,955.37,602.4,22052
Beef Flavored Bits (14 oz),61,974.96,621.16,22012
Garbanzo Beans (4 lbs),61,2267.12,1403.97,12094
"Dried Potatoes, Diced (20 lbs)",60,7652.98,3827.58,10036
Garbanzo Beans (16 oz),60,892.52,516.92,12092
Hearty Texas Beefish Stew (2.4 oz),60,282.15,183.75,94021
