"Day","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales"
"2025-03-01",14,4666.19,-86.56,0,4579.63,81.54,0,0,11.06,4672.23
"2025-03-02",13,1611.98,-231.13,0,1380.85,180.89,0,0,30.5,1592.24
"2025-03-03",20,2994.79,-459.65,0,2535.14,87.45,0,0,0,2622.59
"2025-03-04",23,6132.43,-801.12,0,5331.31,125.32,0,0,1.51,5458.14
"2025-03-05",28,10565.75,-1386.96,0,9178.79,650.61,0,0,120.43,9949.83
"2025-03-06",25,4923.29,-605.35,0,4317.94,71.55,0,0,0,4389.49
"2025-03-07",22,5340.99,-514.9,0,4826.09,212.74,0,0,2.08,5040.91
"2025-03-08",17,4649.06,-601.66,0,4047.4,134.1,0,0,16.55,4198.05
"2025-03-09",14,1219.2,-150.61,0,1068.59,79.99,0,0,0,1148.58
"2025-03-10",24,6316.7,-680.49,0,5636.21,225.04,0,0,3.32,5864.57
"2025-03-11",16,1314.92,-127.85,0,1187.07,79.5,0,0,2.03,1268.6
"2025-03-12",89,16168.73,-3391.45,0,12777.28,370.82,0,0,104.42,13252.52
"2025-03-13",35,6895.02,-536.59,0,6358.43,143.1,0,0,2,6503.53
"2025-03-14",20,2186.23,-261.31,0,1924.92,103.35,0,0,11.29,2039.56
"2025-03-15",15,1436.58,-120.67,0,1315.91,122.88,0,0,0,1438.79
"2025-03-16",15,1457.19,-282.85,0,1174.34,110.74,0,0,0,1285.08
"2025-03-17",27,5182.23,-358.69,0,4823.54,128.32,0,0,38.22,4990.08
"2025-03-18",16,5117.35,-232.98,0,4884.37,139.99,0,0,27.36,5051.72
"2025-03-19",14,7425.31,-163.89,0,7261.42,328.86,0,0,0,7590.28
"2025-03-20",34,3863.91,-628.47,0,3235.44,192.8,0,0,14.68,3442.92
"2025-03-21",35,3829.92,-527.99,0,3301.93,158.58,0,0,4.48,3464.99
"2025-03-22",23,2436.39,-210,0,2226.39,281.88,0,0,2.83,2511.1
"2025-03-23",42,3687.91,-785.99,0,2901.92,243.53,0,0,1.32,3146.77
"2025-03-24",18,1818.45,-141.24,0,1677.21,71.55,0,0,3.24,1752
"2025-03-25",16,1777.14,-55.93,0,1721.21,106.85,0,0,2.84,1830.9
"2025-03-26",13,1444.72,-120.53,0,1324.19,73.51,0,0,0,1397.7
"2025-03-27",15,2623.05,-123.79,0,2499.26,73.51,0,0,2.51,2575.28
"2025-03-28",17,2189.49,-204.42,0,1985.07,90.29,0,0,2.62,2077.98
"2025-03-29",15,3810.75,-222.11,0,3588.64,47.7,0,0,0,3636.34
"2025-03-30",10,1370.88,-217.6,0,1153.28,39.75,0,0,1.26,1194.29
"2025-03-31",10,1741.71,-149.79,0,1591.92,23.85,0,0,0.22,1615.99
