"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Vegetable Sampler (15 ZIP Pouches)","Harmony House Foods",,83,4814.51,-198.72,-55.21,4560.58,25.02,4585.6
"Dried Vegetable Soup","Harmony House Foods",,59,3402.79,-371.99,0,3030.8,3.73,3034.53
"Black Beans","Harmony House Foods",,32,3741.4,-851.92,0,2889.48,6.36,2895.84
"Deluxe Fruit Assortment (12 Jars, Quart Size)","Harmony House Foods",,9,2249.55,-74.97,0,2174.58,0,2174.58
"Vegetable Pantry Stuffer (16 Varieties, Quart Size)","Harmony House Foods",,9,2067.72,0,0,2067.72,0,2067.72
"Vegetable Family Pack (16 Varieties, Gallon Size)","Harmony House Foods",,4,2090.84,-156.81,0,1934.03,0,1934.03
"Organic Freeze-Dried Blueberries","Harmony House Foods",,73,2332.35,-488.37,0,1843.98,0,1843.98
"Freeze-Dried Strawberries","Harmony House Foods",,21,1726.47,-32.43,0,1694.04,5.12,1699.16
"Deluxe Sampler (32 ZIP Pouches)","Harmony House Foods",,15,1616.27,0,0,1616.27,7.69,1623.96
"Great Northern Beans","Harmony House Foods",,12,1994.4,-494.89,0,1499.51,0,1499.51
"Red Beans","Harmony House Foods",,16,1881.2,-449.9,0,1431.3,0.83,1432.13
"Dried Bell Peppers","Harmony House Foods",,35,1390.25,-23.65,0,1366.6,2.07,1368.67
"Dried JalapenÌo Dices","Harmony House Foods",,16,1284.2,-0.49,0,1283.71,37.09,1320.8
"Backpacking Kit (18 ZIP Pouches)","Harmony House Foods",,14,1119.3,0,0,1119.3,5.4,1124.7
"Dark Red Kidney Beans","Harmony House Foods",,9,1454.55,-349.93,0,1104.62,0,1104.62
"Mushroom Pantry Stuffer (7 Varieties, Quart Size)","Harmony House Foods",,10,1088.03,0,0,1088.03,0,1088.03
"Organic Vegetable Pantry Stuffer (8 Varieties, Quart Size)","Harmony House Foods",,7,1084.65,0,0,1084.65,0,1084.65
"Organic Pumpkin Dices","Harmony House Foods",,6,1009.7,0,0,1009.7,60.2,1069.9
"Freeze-Dried Pineapple Dices","Harmony House Foods",,5,1015.75,0,0,1015.75,0,1015.75
"Dried Cabbage","Harmony House Foods",,28,964.37,-18.84,0,945.53,0,945.53
"Dried Potato Slices","Harmony House Foods",,23,911.85,-58.05,0,853.8,0,853.8
"Freeze-Dried Bananas Bundle","Harmony House Foods",,50,1147.5,-296.09,0,851.41,0,851.41
"Pinto Bean Flakes","Harmony House Foods",,18,808.22,-3.36,0,804.86,0.91,805.77
"Soup & Chili Mix Pantry Stuffer (12 ct)","Harmony House Foods",,4,799.8,0,0,799.8,0,799.8
"Berry Medley (4 Jars, Quart Size)","Harmony House Foods",,9,782.57,0,0,782.57,0,782.57
"Fireside Favorites (33 ZIP Pouches)","Harmony House Foods",,7,773.22,0,0,773.22,7.74,780.96
"Gourmet Soup & Chili Blend Sampler (12 ct)","Harmony House Foods",,14,769.3,0,0,769.3,3.71,773.01
"Dried Broccoli","Harmony House Foods",,120,1019,-254.39,0,764.61,3.5,768.11
"Organic Freeze-Dried Raspberries","Harmony House Foods",,30,958.5,-220.29,0,738.21,0,738.21
"Dried Onions","Harmony House Foods",,28,802.6,-89.99,0,712.61,0.49,713.1
"Organic Fruit Assortment (4 Varieties, Quart Size)","Harmony House Foods",,7,650.41,0,0,650.41,19.23,669.64
"Dried Potato Dices","Harmony House Foods",,28,614.6,-21.51,0,593.09,1.36,594.45
"Beach House Essentials (23 ct)","Harmony House Foods",,3,586.38,0,0,586.38,0,586.38
"Dried Tomato Dices","Harmony House Foods",,16,667.49,-87.99,0,579.5,6.01,585.51
"Tomato Powder","Harmony House Foods",,26,593.7,-22.49,0,571.21,5.09,576.3
"Freeze-Dried Supersweet Corn","Harmony House Foods",,11,599.45,-24.58,0,574.87,0,574.87
"Dried Sweet Potatoes","Harmony House Foods",,12,627.4,-76.6,0,550.8,0,550.8
"BACKPACKING Soup & Chili Kit (18 ct)","Harmony House Foods",,7,524.65,0,0,524.65,5.25,529.9
"Deluxe Plant-Based Protein Sampler (12 ZIP Pouches)","Harmony House Foods",,12,532.66,-13.47,0,519.19,3.04,522.23
"Freeze-Dried Blueberries","Harmony House Foods",,18,534.61,-25.45,0,509.16,2.02,511.18
"TRAIL-READY Gourmet Soup & Chili Pack (18 ct)","Harmony House Foods",,6,479.7,-20.78,0,458.92,5.6,464.52
"Dried Zucchini Dices","Harmony House Foods",,6,442.7,-15.58,0,427.12,0,427.12
"Freeze-Dried Banana Powder (4 Cups / 64 Tbs)","Harmony House Foods",,9,458.64,-46.18,0,412.46,0,412.46
"Dried Mushrooms, Bits & Pieces","Harmony House Foods",,11,409.45,0,0,409.45,0,409.45
"Dried Carrots","Harmony House Foods",,23,456.85,-55.17,0,401.68,3,404.68
"Chicken Style Chunks (Unflavored)","Harmony House Foods",,8,448.6,-49.99,0,398.61,0,398.61
"Dried Celery","Harmony House Foods",,32,410.4,-14.05,0,396.35,0.28,396.63
"Orchard Fruit Medley (4 Jars, Quart Size)","Harmony House Foods",,4,346.31,0,0,346.31,6.29,352.6
"Garbanzos","Harmony House Foods",,6,329.7,-3.88,0,325.82,2.7,328.52
"Dried Spinach","Harmony House Foods",,23,342.85,-19.86,0,322.99,0.57,323.56
"Beef Bits (Flavored)","Harmony House Foods",,22,312.15,-6.54,0,305.61,2.28,307.89
"Soup & Chili Mix Sampler (12 ct)","Harmony House Foods",,6,299.7,0,0,299.7,0,299.7
"Dried Garlic","Harmony House Foods",,16,299.2,-3,0,296.2,0,296.2
"Dried Shallots","Harmony House Foods",,6,329.7,-62.67,0,267.03,0,267.03
"Dried Chive Rings","Harmony House Foods",,7,327.65,-62.49,0,265.16,0,265.16
"Flavored Plant-Based Protein Pantry Stuffer (6 Varieties, Quart Size)","Harmony House Foods",,3,256.36,0,0,256.36,0,256.36
"Lentils","Harmony House Foods",,9,284.55,-40.35,0,244.2,7.08,251.28
"Organic Red Beet Dices","Harmony House Foods",,9,295.01,-16.75,-29.95,248.31,0,248.31
"Black Bean Flakes","Harmony House Foods",,10,254.5,-10.38,0,244.12,1.09,245.21
"Freeze-Dried Blueberry Powder (4 Cups / 64 Tbs)","Harmony House Foods",,3,229.38,0,0,229.38,0,229.38
"Organic Chopped Onions","Harmony House Foods",,8,226.13,0,0,226.13,2.24,228.37
"Split Pea Soup Mix - PLAIN","Harmony House Foods",,4,224.8,0,0,224.8,0,224.8
"Flavored Plant-Based Protein Family Pack (6 Varieties, Gallon Size)","Harmony House Foods",,1,219.95,0,0,219.95,0,219.95
"Taco Bits (Flavored)","Harmony House Foods",,8,219.6,-1.83,0,217.77,0.34,218.11
"Chorizo Crumbles (Flavored)","Harmony House Foods",,14,219.46,-7.58,0,211.88,2.3,214.18
"Freeze-Dried Mushroom Slices (1.5 oz.)","Harmony House Foods",,11,219.45,-9.96,0,209.49,3.77,213.26
"Freeze-Dried Grape Halves (9.45 oz)","Harmony House Foods",,7,209.65,-8.97,0,200.68,0,200.68
"Freeze-Dried Raspberries","Harmony House Foods",,7,209.65,-8.97,0,200.68,0,200.68
"Dried Mushroom Slices","Harmony House Foods",,7,213.65,-14.8,0,198.85,1.4,200.25
"Freeze-Dried Mango Dices","Harmony House Foods",,8,215.6,-20.2,0,195.4,0,195.4
"Sausage Crumbles (Flavored)","Harmony House Foods",,11,191.45,0,0,191.45,0.27,191.72
"Freeze-Dried Cherries","Harmony House Foods",,6,186.91,0,0,186.91,0,186.91
"Freeze-Dried Green Peas","Harmony House Foods",,8,183.6,0,0,183.6,1.61,185.21
"Dried Sweet Corn","Harmony House Foods",,9,183.55,0,0,183.55,0.65,184.2
"Dried Green Peas","Harmony House Foods",,7,214.65,-34.98,0,179.67,2.32,181.99
"Organic Tomato Powder","Harmony House Foods",,3,179.85,0,0,179.85,0,179.85
"Organic Freeze-Dried Mango Dices","Harmony House Foods",,6,179.7,0,0,179.7,0,179.7
"Freeze-Dried Pineapple Powder (4 Cups / 64 Tbs)","Harmony House Foods",,3,178.38,0,0,178.38,0,178.38
"Freeze-Dried Apple Dices","Harmony House Foods",,8,199.6,-25.92,0,173.68,0,173.68
"Organic Spinach Flakes","Harmony House Foods",,11,219.45,-49.8,0,169.65,0,169.65
"Chicken Bits (Flavored)","Harmony House Foods",,8,167.6,0,0,167.6,1.57,169.17
"Dried Butternut Squash","Harmony House Foods",,10,172.61,-6.48,0,166.13,0.4,166.53
"Organic Sweet Potatoes","Harmony House Foods",,5,159.75,0,0,159.75,2.16,161.91
"Freeze-Dried Peach Dices","Harmony House Foods",,8,159.6,0,0,159.6,1.35,160.95
"Dried Leek Flakes","Harmony House Foods",,11,160.45,-0.63,0,159.82,0,159.82
"Pinto Beans","Harmony House Foods",,2,194.9,-44.99,0,149.91,0,149.91
"Bean & Legume Sampler (8 ZIP Pouches)","Harmony House Foods",,4,140.97,0,0,140.97,7.77,148.74
"Freeze-Dried Raspberry Powder (4 Cups / 64 Tbs)","Harmony House Foods",,2,152.92,-7.65,0,145.27,0,145.27
"Flavored Plant-Based Protein Sampler (6 ZIP Pouches)","Harmony House Foods",,5,140.55,0,0,140.55,4.3,144.85
"Unflavored Plant-Based Protein Pantry Stuffer (6 Varieties, Quart Size)","Harmony House Foods",,2,139.9,0,0,139.9,0,139.9
"Dried Green Beans","Harmony House Foods",,7,152.65,-14.99,0,137.66,0.4,138.06
"Organic Freeze-Dried Banana Dices","Harmony House Foods",,6,145.96,-12.46,0,133.5,0,133.5
"Organic Kale Flakes","Harmony House Foods",,7,136.66,-15.54,0,121.12,0,121.12
"Gourmet Lion's Mane Mushroom Powder & Bits (Pom Pom) (4 Cups)","Harmony House Foods",,7,139.65,-19.96,0,119.69,1.35,121.04
"Navy Beans","Harmony House Foods",,3,119.85,0,0,119.85,0,119.85
"Organic Freeze-Dried Pineapple Dices","Harmony House Foods",,4,127.8,-9.57,0,118.23,0,118.23
"BACKPACKING Soup & Chili Kit COMBO","Harmony House Foods",,1,114.95,0,0,114.95,0,114.95
"Bacon Bits (Flavored)","Harmony House Foods",,10,117.5,-4.49,0,113.01,1.72,114.73
"Freeze-Dried Bananas","Harmony House Foods",,5,111.85,-2.3,0,109.55,3.05,112.6
"Organic Freeze-Dried Apple Dices","Harmony House Foods",,4,107.8,-2.7,0,105.1,3.64,108.74
"Freeze-Dried Mushroom Dices","Harmony House Foods",,5,99.75,0,0,99.75,1.35,101.1
"Organic Tomato Flakes","Harmony House Foods",,4,99.8,-7.47,0,92.33,0,92.33
"Beefish Seasoning","Harmony House Foods",,1,109.95,-27.49,0,82.46,0,82.46
"Quinoa Greek Lentil Soup Blend","Harmony House Foods",,12,83.4,-1.91,0,81.49,0,81.49
"Soup & Chili Mix Sampler COMBO","Harmony House Foods",,1,79.95,0,0,79.95,0,79.95
"""Mama Mia"" Italian Soup Blend","Harmony House Foods",,13,79.35,-1.47,0,77.88,0,77.88
"Tropical Fruit Medley (4 Jars, Quart Size)","Harmony House Foods",,1,76.46,0,0,76.46,0,76.46
"Value Soup Variety Pack (12 Bags)","Harmony House Foods",,1,74.95,0,0,74.95,0,74.95
"Beef Style Bits (Unflavored)","Harmony House Foods",,3,72.85,0,0,72.85,0,72.85
"Unflavored Plant-Based Protein Sampler (6 ZIP Pouches)","Harmony House Foods",,3,68.85,0,0,68.85,0,68.85
"Mixed Bean Chili Mix - PLAIN","Harmony House Foods",,4,64.8,0,0,64.8,0,64.8
