Day,Reach,Impressions,Link clicks,Adds to cart,Checkouts initiated,CTR (all),1. Click to PV,2. PV to ATC,3. ATC to Purchase,Amount spent (USD),Purchases,Cost per purchase,Purchases conversion value,Purchase ROAS (return on ad spend),Reporting starts,Reporting ends
2025-03-01,13946,35251,314,50,22,1.54038183,0.62101911,0.25641026,0.16,886.43,8,110.80375,895.62,1.01036743,2025-03-01,2025-03-01
2025-03-02,14267,36136,291,67,30,1.4749834,0.63573883,0.36216216,0.17910448,959.94,12,79.995,1552.41,1.61719482,2025-03-02,2025-03-02
2025-03-03,13635,35842,292,58,18,1.40896155,0.72260274,0.27488152,0.17241379,941.18,10,94.118,1327.76,1.41073971,2025-03-03,2025-03-03
2025-03-04,12828,35041,222,66,30,1.10442054,0.58558559,0.50769231,0.18181818,792.72,12,66.06,1453.29,1.83329549,2025-03-04,2025-03-04
2025-03-05,10420,30245,213,43,21,1.28946933,0.5399061,0.37391304,0.34883721,719.06,15,47.93733333,2007.28,2.79153339,2025-03-05,2025-03-05
2025-03-06,9275,24761,204,67,27,1.48216954,0.6127451,0.536,0.23880597,672.14,16,42.00875,1894.01,2.8178802,2025-03-06,2025-03-06
2025-03-07,8459,22076,172,67,27,1.4812466,0.5755814,0.67676768,0.19402985,609.94,13,46.91846154,1719.6,2.8192937,2025-03-07,2025-03-07
2025-03-08,11007,25503,188,24,15,1.39983531,0.61702128,0.20689655,0.29166667,756.98,7,108.14,899.97,1.18889535,2025-03-08,2025-03-08
2025-03-09,11308,24816,193,34,18,1.48291425,0.56476684,0.31192661,0.26470588,785.05,9,87.22777778,1121.74,1.42887714,2025-03-09,2025-03-09
2025-03-10,12622,28783,224,47,19,1.45919466,0.48660714,0.43119266,0.25531915,825.32,12,68.77666667,1511.86,1.83184704,2025-03-10,2025-03-10
2025-03-11,12081,28844,210,40,18,1.19955623,0.53809524,0.3539823,0.325,783.9,13,60.3,1252.1,1.59727006,2025-03-11,2025-03-11
2025-03-12,10927,25853,205,89,32,1.41182841,0.53170732,0.81651376,0.13483146,721.79,12,60.14916667,2042.66,2.8299921,2025-03-12,2025-03-12
2025-03-13,10809,25498,169,38,14,1.12557848,0.59171598,0.38,0.28947368,679.99,11,61.81727273,1412.86,2.07776585,2025-03-13,2025-03-13
2025-03-14,10568,25546,159,59,23,1.10389102,0.55345912,0.67045455,0.13559322,665.27,8,83.15875,1034.7,1.55530837,2025-03-14,2025-03-14
2025-03-15,11237,25433,174,27,21,1.20709315,0.63218391,0.24545455,0.55555556,682.93,15,45.52866667,1963.91,2.87571201,2025-03-15,2025-03-15
