Day,Currency code,Cost,Conversions,Cost / conv.,Conv. value,Value / conv.,Clicks,Impr.,CTR,Avg. CPC,View-through conv.,Conv. rate
2025-03-01,USD,1353.29,7.86,172.19,1145.26,145.72,542,28967,1.87%,2.50,0,1.44%
2025-03-02,USD,1445.66,14.01,103.19,1773.12,126.57,584,28720,2.03%,2.48,0,2.39%
2025-03-03,USD,1459.69,15.86,92.02,1880.28,118.53,577,30555,1.89%,2.53,0,2.73%
2025-03-04,USD,1277.93,13.01,98.20,1815.91,139.53,515,28872,1.78%,2.48,0,2.52%
2025-03-05,USD,1319.65,11.31,116.68,1563.38,138.23,499,30204,1.65%,2.64,0,2.25%
2025-03-06,USD,1074.83,9.07,118.49,1126.68,124.20,475,27302,1.74%,2.26,0,1.89%
2025-03-07,USD,1403.29,14.99,93.60,1749.94,116.72,574,39966,1.44%,2.44,0,2.58%
2025-03-08,USD,1066.94,11.01,96.95,1379.51,125.35,439,31770,1.38%,2.43,0,2.50%
2025-03-09,USD,1158.96,17.99,64.42,2272.55,126.32,549,46857,1.17%,2.11,0,3.25%
2025-03-10,USD,1032.94,7.02,147.09,887.02,126.31,424,35951,1.18%,2.44,0,1.64%
2025-03-11,USD,883.82,11.99,73.74,1582.80,132.06,402,34144,1.18%,2.20,0,2.94%
2025-03-12,USD,1038.33,8.03,129.31,780.58,97.21,418,34825,1.20%,2.48,0,1.89%
2025-03-13,USD,901.84,6.93,130.17,882.41,127.36,384,35952,1.07%,2.35,0,1.77%
2025-03-14,USD,730.72,12.98,56.30,1620.70,124.87,360,27365,1.32%,2.03,0,3.55%
2025-03-15,USD,871.13,11.98,72.71,1729.82,144.38,376,27922,1.35%,2.32,0,3.15%
