"Ad name","Amount spent (USD)",Impressions,"Link clicks",Purchases,"Purchases conversion value","Link (ad settings)","Reporting starts","Reporting ends"
"17.11.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP - PDP",1085.27,72565,893,12,3501.12,https://www.thelogox.com/products/logox-3-in-1,2026-02-01,2026-02-10
"Video | Site B | Austin  - 816341450512552",791.19,124016,1370,12,3109.19,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-02-01,2026-02-10
"Video | Site B | Austin  - 711679707645394",741.08,117888,1368,12,2759.83,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-02-01,2026-02-10
"09.12.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP : Multitool PDP",705.21,57325,670,6,5185.45,https://www.thelogox.com/pages/multitool,2026-02-01,2026-02-10
"17.11.25 | Video - 9 | WoodOX Sling | Text Variation - 1 | LP - PDP",521.58,36945,339,11,1159.5,https://www.thelogox.com/products/woodox-sling,2026-02-01,2026-02-10
"06.01.26 | B6.V2 | Forester Package | Text Variation - 1 | LP : Forester Package",379.14,54005,1131,8,2131.8,https://www.thelogox.com/products/forester-package,2026-02-01,2026-02-10
"06.01.26 | B6.V3 | Forester Package | Text Variation - 1 | LP : Forester Package",373.02,44518,543,5,1308.8,https://www.thelogox.com/products/forester-package,2026-02-01,2026-02-10
"29.01.26 | Video | WoodOX Sling | Text Variation - 1 | LP : PDP",271.06,25677,388,5,499.75,https://www.thelogox.com/products/woodox-sling,2026-02-01,2026-02-10
"Video | Site B | Austin  - 711679707645394",263.36,22478,278,7,1782.46,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-02-01,2026-02-10
"3-in-1 Forestry MultiTool Static",137.64,14920,107,2,655.1,https://www.thelogox.com/pages/multitool,2026-02-01,2026-02-10
"Video | Site B | Austin  - 816341450512552",124.16,11476,164,1,289,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-02-01,2026-02-10
"DPA carousel 2 - slideshow",111.31,20764,243,7,1077.35,https://www.thelogox.com/,2026-02-01,2026-02-10
"09.12.25 | Video - 3 | LogOX 3-in-1 | Text Variation - 2 | LP - Multitool PDP",98.5,4557,67,,,https://www.thelogox.com/pages/multitool,2026-02-01,2026-02-10
"Vid YT4 937590921720937",94.66,9461,127,4,446.97,https://www.thelogox.com/pages/multitool,2026-02-01,2026-02-10
"Vid FB1 937590858387610",82.79,6204,74,2,699.8,https://www.thelogox.com/pages/multitool,2026-02-01,2026-02-10
"06.01.26 | B4.V4 | LogOX 3-in-1 | Text Variation - 1 | LP : PDP",49.93,5120,75,,,https://www.thelogox.com/products/logox-3-in-1,2026-02-01,2026-02-10
"06.01.26 | B6.V1 | Forester Package | Text Variation - 1 | LP : Forester Package",48.24,5030,48,3,574.35,https://www.thelogox.com/products/forester-package,2026-02-01,2026-02-10
"17.11.25 | Video - 3 | LogOX 3-in-1 | Text Variation - 2 | LP - PDP",43.9,2903,39,1,289,https://www.thelogox.com/products/logox-3-in-1,2026-02-01,2026-02-10
"17.11.25 | Video - 6 | TimberOX Summit 30-Ton | Text Variation - 3 | LP - PDP",26.21,2130,118,2,7156.01,https://www.thelogox.com/products/timberox,2026-02-01,2026-02-10
"EB | SCALE-TIMBEROX | VID | Overview 1",10,1076,41,,,https://www.thelogox.com/products/timberox,2026-02-01,2026-02-10
"28.11.25 | Video - 1 | LogOX Sling | Text Variation - 1,2 | LP - PDP",9.91,350,3,,,https://www.thelogox.com/products/woodox-sling,2026-02-01,2026-02-10
"19.01.26 | LOGOX V1 | Hearth Bin | Text Variation - 1 | LP : PDP",6.97,568,10,,,https://www.thelogox.com/products/logox-firewood-hearth-bin,2026-02-01,2026-02-10
"30.01.26 | Video | WoodOX Sling | Text Variation - 1 | LP : PDP",5.38,358,4,,,https://www.thelogox.com/products/woodox-sling,2026-02-01,2026-02-10
"17.11.25 | Video -1 | The Woodsman Bundle | Text Variation - 1 LP - PDP",4.95,412,18,1,77.05,https://www.thelogox.com/products/the-woodsman,2026-02-01,2026-02-10
"06.01.26 | B6.V2 | Forester Package | Text Variation - 1 | LP : Forester Package",2.5,311,10,,,https://www.thelogox.com/products/forester-package,2026-02-01,2026-02-10
"3-in-1 Forestry MultiTool Static",2.12,316,1,,,https://www.thelogox.com/pages/multitool,2026-02-01,2026-02-10
"17.11.25 | Video -2 | LogOX 3-in-1 | Text Variation - 1 LP - PDP",2.04,153,2,,,https://www.thelogox.com/products/logox-3-in-1,2026-02-01,2026-02-10
"06.01.26 | B6.V3 | Forester Package | Text Variation - 1 | LP : Forester Package",0.94,100,1,,,https://www.thelogox.com/products/forester-package,2026-02-01,2026-02-10
"09.12.25 | Video -2 | LogOX 3-in-1 | Text Variation - 1 LP : Multitool PDP",0.63,85,,,,https://www.thelogox.com/pages/multitool,2026-02-01,2026-02-10
"19.01.26 | LOGOX V1 | Hearth Bin | Text Variation - 1 | LP : PDP",0.52,54,,1,185,https://www.thelogox.com/products/logox-firewood-hearth-bin,2026-02-01,2026-02-10
"17.11.25 | Video - 3 | LogOX 3-in-1 | Text Variation - 2 | LP - PDP",0,11,,,,https://www.thelogox.com/products/logox-3-in-1,2026-02-01,2026-02-10
