"Ad name","Amount spent (USD)",Impressions,"Link clicks",Purchases,"Purchases conversion value","Link (ad settings)","Reporting starts","Reporting ends"
"Chip Wade Video Feb25",128.23,16019,209,2,64.95,https://www.thelogox.com/products/logox-3-in-1,2025-03-01,2025-03-10
"Austin 3-in-1 Forestry MultiTool Video",122.12,14486,206,6,1406.79,https://www.thelogox.com/pages/multitool?utm_source=ABM,2025-03-01,2025-03-10
"Make processing your firewood faster safer and easier Video",99.22,15982,323,6,1906,https://www.thelogox.com/pages/multitool?utm_source=ABM,2025-03-01,2025-03-10
"3-in-1 Forestry MultiTool Static",75.84,9130,75,,,https://www.thelogox.com/pages/multitool,2025-03-01,2025-03-10
"DPA carousel 2 - slideshow",70.79,16719,162,11,277.51,https://www.thelogox.com/,2025-03-01,2025-03-10
"The Kelleys Country Life Video Feb25",44.81,6700,69,3,534.18,https://www.thelogox.com/products/forester-package,2025-03-01,2025-03-10
"Best Sellers Carousel Jan25 Copy",41.59,4581,63,,,https://www.thelogox.com/collections/best-sellers,2025-03-01,2025-03-10
"Best Sellers Carousel Jan25",35,4878,73,,,https://www.thelogox.com/collections/best-sellers,2025-03-01,2025-03-10
"WoodOX Sling Jan25",34.88,3660,34,,,https://www.thelogox.com/products/woodox-sling,2025-03-01,2025-03-10
"WoodOX Sling Jan25 Copy",32.08,3780,21,1,343.95,https://www.thelogox.com/products/woodox-sling,2025-03-01,2025-03-10
"3-in-1 Forestry MultiTool Static",27.1,4553,46,3,867,https://www.thelogox.com/pages/multitool,2025-03-01,2025-03-10
"The Kelleys Country Life Video Feb25 Copy",22.71,3178,53,1,289,https://www.thelogox.com/products/forester-package,2025-03-01,2025-03-10
"My Cluttered Garage Video",19.91,1483,14,1,328.95,https://www.thelogox.com/pages/multitool,2025-03-01,2025-03-10
"3-in-1 Multitool Video",17.53,1532,19,2,617.95,https://www.thelogox.com/pages/multitool,2025-03-01,2025-03-10
"Chip Wade Video Feb25",5.99,594,14,,,https://www.thelogox.com/products/logox-3-in-1,2025-03-01,2025-03-10
"Austin 3-in-1 MultiTool Video 2",2.32,343,1,1,289,https://www.thelogox.com/pages/multitool,2025-03-01,2025-03-10
"3-in-1 Forestry MultiTool Static",0.22,22,,,, https://www.thelogox.com/pages/multitool,2025-03-01,2025-03-10
