"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"LogOX 3-in-1 Forestry MultiTool","LogOX","Tool",50,15028,-1225.26,-568,13234.74,0,13234.74
"TimberOX Summit 30-Ton Log Splitter","TimberOX",,1,5995,0,0,5995,0,5995
"TimberOX Summit Dan-D-Lift Manual Log Lift","LogOX",,8,6800,-1675,0,5125,0,5125
"LogOX Forester Package","LogOX","Tool",10,4345,-114,-385,3846,-50.05,3795.95
"WoodOX Sling","LogOX",,28,2518.6,-117.85,0,2400.75,10.79,2411.54
"LogOX Hauler","LogOX","Tool",11,2145,-260.85,0,1884.15,0,1884.15
"LogOX Forester Package Upgrade","LogOX",,6,810,-140.64,0,669.36,0,669.36
"The Woodsman Bundle","LogOX",,2,657.9,0,0,657.9,0,657.9
"The Woodhaven 8ft Large Crescent Firewood Rack","The Woodhaven","Firewood Storage",1,469,-10,0,459,0,459
"PickOX Pickaroon Attachment","LogOX","Tool",9,449.55,-27.61,0,421.94,0,421.94
"The WoodOX Bundle","LogOX",,2,340,0,0,340,0,340
"LogOX 3-in-1 Forestry MultiTool $249","LogOX","Tool",1,289,0,0,289,15.9,304.9
"CarryOX Gear Bag","LogOX","Tool",5,324.75,-24.82,0,299.93,3.85,303.78
"LogOX 3-in-1 Forestry MultiTool*","LogOX","copy",1,289,0,0,289,0,289
"The Woodhaven 8ft Firewood Rack","The Woodhaven","Firewood Storage",1,278.95,0,0,278.95,0,278.95
"LogOX Hauler Upgrade Package","LogOX","Accessory",3,284.85,-13.45,0,271.4,0,271.4
"SawHaul Snap-Lok Rotating Mount for Tractors","GearHaul","Snap-Lok Kit",1,254.99,0,0,254.99,0,254.99
"The Fireside Bundle","LogOX","Tool",1,229,0,0,229,0,229
"LogOX Hauler Holster","LogOX","Tool",6,239.7,-27.96,0,211.74,0,211.74
"WoodOX Sling*","LogOX","copy",3,269.85,-89.95,0,179.9,12.91,192.81
"The Mingo Marker","The Mingo Marker",,4,151.96,0,0,151.96,0,151.96
"CarryOX Gear Bag*","LogOX","copy",2,129.9,-5.42,0,124.48,0,124.48
"Bigfoot Timberjack Attachment and Swing-Lock Pins","LogOX",,2,110,-10.08,0,99.92,0,99.92
"PickOX Pickaroon Attachment*","LogOX","copy",2,99.9,0,0,99.9,0,99.9
"Set of (3) LogOX Swing-Lock Connection Pins","LogOX","Tool",8,76,-12.31,0,63.69,0,63.69
"Candle and Lamp Oil - 4 pack","American Fire Lighter Company",,1,55.88,0,0,55.88,0,55.88
"LogOX Professional Work Belt","LogOX","Accessory",1,44.95,0,0,44.95,0,44.95
"LogOX Cant Handle Extension","LogOX","Accessory",1,39.95,-2.1,0,37.85,0,37.85
"Mingo Marker Trigger","The Mingo Marker",,2,19.98,0,0,19.98,0,19.98
"PICKOX TIP REPLACEMENT","LogOX","copy",2,13.9,0,0,13.9,0,13.9
"Team LogOX Hat","LogOX","Accessory",1,25,-25,0,0,0,0
"LogOX Hat","LogOX",,2,0,0,0,0,0,0
"LogOX Sticker","LogOX","Accessory",1,1,-1,0,0,0,0
"Hearth Bin Adjustable Firewood Rack*","LogOX","copy",1,149.95,-149.95,0,0,0,0
"LogOX Can Cooler","LogOX","Accessory",46,0,0,0,0,0,0
"Team LogOX Sticker","LogOX",,56,0,0,0,0,0,0
"LogOX Can Coolers (4 pack)","LogOX","Accessory",1,4.95,-4.95,0,0,0,0
