"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"LogOX 3-in-1 Forestry MultiTool","LogOX","Tool",48,14161,-202.66,-289,13669.34,0,13669.34
"TimberOX Summit 30-Ton Log Splitter","TimberOX",,1,5995,0,0,5995,0,5995
"LogOX Forester Package","LogOX","Tool",11,4740,-227.5,-385,4127.5,0,4127.5
"LogOX Hauler","LogOX","Tool",7,1365,-215,0,1150,0,1150
"The Woodsman Bundle","LogOX",,1,328.95,-10,0,318.95,0,318.95
"A2 GenOX Bushcraft Knife*","LogOX","copy",1,287,0,0,287,0,287
"A2 GenOX Bushcraft Knife","LogOX",,1,287,-10,0,277,0,277
"WoodOX Sling","LogOX",,3,269.85,0,0,269.85,0,269.85
"TW Series 4-Way Wedge","TimberOX",,1,295,-29.5,0,265.5,0,265.5
"LogOX 3-in-1 Forestry MultiTool*","LogOX","copy",1,289,-28.9,0,260.1,0,260.1
"PickOX Pickaroon Attachment","LogOX","Tool",5,249.75,-10.75,0,239,0,239
"SawHaul Snap-Lok Rotating Mount Base with Scabbard","GearHaul","Snap-Lok Kit",1,229.99,-22.99,0,207,0,207
"CarryOX Gear Bag*","LogOX","copy",3,194.85,-3.67,0,191.18,0,191.18
"LogOX Hauler Upgrade Package","LogOX","Accessory",2,189.9,0,0,189.9,0,189.9
"PickOX Pickaroon Attachment*","LogOX","copy",5,299.7,-121.37,0,178.33,0,178.33
"Hearth Bin Adjustable Firewood Rack","LogOX","Tool",1,149.95,0,0,149.95,0,149.95
"Granberg Alaskan Winch -G478","Granberg International","Tool",1,136,0,0,136,0,136
"TimberOX Summit Tongue Jack","TimberOX",,1,150,-15,0,135,0,135
"CarryOX Gear Bag","LogOX","Tool",3,259.8,-144.1,0,115.7,0,115.7
"Granberg Precision Grinder (12V) Bar Mounted Chainsaw Sharpener G1012XT","Granberg International","Tool",1,109,0,0,109,0,109
"Hi-Vis GripOX Premium Leather Work Gloves","LogOX LLC",,3,119.85,-11.97,0,107.88,0,107.88
"LogOX Hauler Upgrade Package*","LogOX","copy",1,94.95,0,0,94.95,0,94.95
"LogOX Cant Handle Extension","LogOX","Accessory",1,39.95,0,0,39.95,0,39.95
"LogOX Hauler Holster*","LogOX","copy",1,79.9,-39.95,0,39.95,0,39.95
"LogOX Hauler Holster","LogOX","Tool",2,79.9,-42.52,0,37.38,0,37.38
"Set of (3) LogOX Swing-Lock Connection Pins","LogOX","Tool",5,47.5,-11.89,0,35.61,0,35.61
"PICKOX TIP REPLACEMENT","LogOX","copy",1,6.95,-1.04,0,5.91,0,5.91
"Free Unlimited Return Valid in US.","re:do","return,package_protection",1,2.48,0,0,2.48,0,2.48
"LogOX Can Cooler","LogOX","Accessory",37,0,0,0,0,0,0
"WoodOX Sling*","LogOX","copy",2,179.9,-179.9,0,0,0,0
"Team LogOX Handmade Mugs","LogOX","Accessory",1,30,-30,0,0,0,0
"Team LogOX Sticker","LogOX",,37,0,0,0,0,0,0
