ï»¿(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0D1CVVY1K,B0CYGRL4CL,"TEKHEUTEN Wipe Holder for Kitchen/Bathroom Counter, Farmhouse Kitchen Decor, Vintage Countertop Wipe Storage Organizer Caddy, Steel with Matte White Finish","16,164",228,12.61%,6.26%,"20,224",277,11.90%,5.74%,99.96%,100.00%,765,6,4.73%,2.63%,"$15,244.87",$119.94,693,3
B0D1CVVY1K,B0CZYPTVQY,"TEKHEUTEN Wipe Holder for Kitchen/Bathroom Counter, Disinfectant Wipe Container, Farmhouse Kitchen Decor, Vintage Countertop Wipe Storage Organizer Caddy, with Matte Black","12,197",195,9.51%,5.35%,"15,342",238,9.03%,4.93%,99.96%,100.00%,686,9,5.62%,4.62%,"$13,665.66",$179.91,618,4
B0D5LLNPSX,B0D5KVH3PT,"SHEEPDOG MICROPHONES HDLO - Tubeless, Covert High Definition 3.5mm Police Listen Only Earpiece (HDLO-3.5-B), Designed for Law Enforcement and Military, Black","6,528",144,5.09%,3.95%,"9,628",206,5.66%,4.27%,99.20%,100.00%,629,69,9.64%,47.92%,"$67,706.00","$7,452.00",588,32
B0D5LLNPSX,B09YSYGL89,"SHEEPDOG MICROPHONES HDLO - Tubeless, Covert High Definition 3.5mm Police Listen Only Earpiece (HDLO-3.5), Clear, 24 Inch","6,897",156,5.38%,4.28%,"10,026",223,5.90%,4.62%,99.55%,100.00%,483,68,7.00%,43.59%,"$52,056.00","$7,344.00",439,31
B07V5QVSHY,B07V5QVSHY,"Radio Earpiece for Motorola APX Series, EP1334QR-PTT Quick Release Hawk Lapel Mic, Police Surveillance Headset, Includes Exclusive Accessory Pack","3,959",106,3.09%,2.91%,"5,709",154,3.36%,3.19%,99.36%,99.15%,391,89,9.88%,83.96%,"$38,737.34","$8,580.21",328,28
B08HFK6SNP,B08HFK6SNP,"SHEEPDOG MICROPHONES Quick Disconnect Police Lapel Mic, Compatible with Motorola APX 6000 APX 7000 APX 8000 and APX 4000 Radios, Law Enforcement Earpiece Headset","3,874",81,3.02%,2.22%,"5,310",102,3.12%,2.11%,99.85%,100.00%,320,51,8.26%,62.96%,"$31,262.00","$4,998.00",273,13
B08JTDHVC9,B08JTDHVC9,"Sheepdog Microphones 3.5mm Listen Only Earpiece with Acoustic Tube for Shoulder Speaker Microphones, Black","2,285",53,1.78%,1.45%,"3,223",73,1.90%,1.51%,99.53%,100.00%,273,63,11.95%,118.87%,"$10,374.00","$2,394.00",214,7
B0D1CVVY1K,B0DZPBKQJY,"TEKHEUTEN Wipe Holder for Kitchen/Bathroom Counter, Disinfectant Wipe Container, Modern Kitchen Decor, Vintage Countertop Wipe Storage Organizer Caddy, with Gold Finish","5,835",154,4.55%,4.23%,"6,998",185,4.12%,3.83%,99.98%,100.00%,207,12,3.55%,7.79%,"$5,097.96",$299.88,179,8
B0B9QF4ZM9,B0B9QF4ZM9,"SHEEPDOG MICROPHONES Alpha SDA1-APX-QD Quick Disconnect (QD) Police Lapel Microphone Headset Earpiece, Compatible with Motorola APX6000 APX7000 APX8000 Radios","2,775",63,2.16%,1.73%,"3,892",75,2.29%,1.55%,99.47%,100.00%,185,23,6.67%,36.51%,"$15,640.00","$1,955.00",167,7
B0CTDBR3QB,B0CTDBR3QB,"Ear Phone Connection Torpedo Ear Bud 3-Pack (âEP-TP1-B-3Pack), Silicone, Black",420,10,0.33%,0.27%,629,14,0.37%,0.29%,99.45%,100.00%,156,16,37.14%,160.00%,"$2,020.20",$207.20,141,5
B0F49HW3NM,B0F49HW3NM,TEKHEUTEN Modern Kitchen Sink Caddy Organizer with Soap & Sponge Holder â Rustproof Stainless Steel Brush Stand for Sink Counter â Stylish Kitchen Decor & Accessories.,"2,642",33,2.06%,0.91%,"3,794",53,2.23%,1.10%,100.00%,100.00%,141,0,5.34%,0.00%,"$1,388.61",$0.00,139,0
B0D1CVVY1K,B0FLDXB4GJ,"TEKHEUTEN Wipe Holder for Kitchen/Bathroom Counter, Disinfectant Wipe Container, Modern Kitchen Decor, Vintage Countertop Wipe Storage Organizer Caddy, Black Color","2,354",53,1.84%,1.45%,"2,647",75,1.56%,1.55%,100.00%,100.00%,175,40,7.43%,75.47%,"$3,323.25",$759.60,131,8
