Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Retailer,Country,Advertised SKU,Advertised ASIN,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"Jan 04, 2026","Jan 27, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3023QD | Pryme SPM-3023 QD Sonic Surveillance Headset for Motorola GP HT MT MTS MTX XTS | $98,Amazon,United States,SPM-3023QD,B06ZZRCXFT,3,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Feb 15, 2026","Feb 15, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3033QD | Pryme SPM-3033 QD Sonic Headset for Motorola CBPRO GP HT JT MTX PRO 2-Way Radios | $98,Amazon,United States,SPM-3033QD,B06ZXRCKXC,0,0,,,0,0,,,0,0,,0,0,0,0
"Feb 18, 2026","Mar 05, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3083QD | Pryme SPM-3083 Quick Disconnect Sonic Earpiece for Motorola TRBO & APX Series (See List) | $103,Amazon,United States,SPM-3083QD,B075GYC514,3,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Feb 25, 2026","Mar 07, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-310EBQD | Pryme SPM-310EB Quick Disconnect Responder Earpiece Mic for ICOM Multi-Pin Radios (See List) | $85,Amazon,United States,SPM-310EBQD,B075GX3MLC,0,0,,,0,0,,,0,0,,0,0,0,0
"Mar 03, 2026","Mar 03, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-322sEBQD | Pryme SPM-322sEB Quick Disconnect Responder Earpiece for Vertex VX 1-Pin + Screws (See List) | $70,Amazon,United States,SPM-322sEBQD,B075H1SJ27,1,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Jan 04, 2026","Mar 01, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3301QD | Pryme SPM-3301 QD 3-Wire Surveillance Headset for Kenwood 2-Pin Two-Way Radios | $105,Amazon,United States,SPM-3301QD,B06Y5XYB38,11,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Feb 08, 2026","Mar 12, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3303QD | Pryme SPM-3303 QD 3-Wire Surveillance Headset for Motorola 2-Pin (See List) | $105,Amazon,United States,SPM-3303QD,B071R67V1N,4,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Mar 07, 2026","Mar 07, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-330EBQD | Pryme SPM-330EB Quick Disconnect Responder Earpiece Mic for ICOM Side 2-Pin No Screws | $65,Amazon,United States,SPM-330EBQD,B075GXH57F,0,0,,,0,0,,,0,0,,0,0,0,0
"Jan 11, 2026","Mar 01, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3311QD | Pryme SPM-3311 Quick Disconnect 3-Wire Earpiece for Kenwood Multi-Pin TK NEXEDGE (See List) | $120,Amazon,United States,SPM-3311QD,B075KPPWNS,19,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Feb 22, 2026","Feb 25, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3320QD | Pryme SPM-3320 Quick Disconnect 3-Wire Earpiece for ICOM F9011 9021 4261 3261 4263DT | $125,Amazon,United States,SPM-3320QD,B075KMWVVB,1,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Feb 22, 2026","Feb 22, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3330QD | Pryme SPM-3330 Quick Disconnect 3-Wire Earpiece for ICOM 2-Pin Radios (No Screws) (See List) | $100,Amazon,United States,SPM-3330QD,B075KRLCR9,1,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Jan 22, 2026","Jan 22, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-3383QD | Pryme SPM-3383 QD 3-Wire Headset for Motorola TRBO & APX Series (See List) | $125,Amazon,United States,SPM-3383QD,B06Y5W9RRM,1,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Jan 04, 2026","Feb 23, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-4220QD | SPM-4220 Quick Disconnect Storm Trooper Speaker Mic for ICOM F9011 F9021 F4261 F3261 4263DT | $165,Amazon,United States,SPM-4220QD,B075LW3GH9,14,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Jan 04, 2026","Mar 16, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-4237QD | Storm Trooper Quick Disconnect Mic for Harris Unity XG-15 XG-25 XG-75 P5300 P5400 P5500 P7300 | $166,Amazon,United States,SPM-4237QD,B075LW2ZSR,116,4,3.4483%,0,1,166,0.4036%,247.76,1,1,25.0000%,1,0,166,0
"Jan 02, 2026","Mar 12, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-600-H3QD | SPM-600-H3 Quick Disconnect Speaker Mic for HYT TC-508 518 580 610 620 700/EX PD502 562 | $90,Amazon,United States,SPM-600-H3QD,B075MNXBT8,2,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Jan 07, 2026","Mar 11, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-610QD | Pryme Synergy SPM-610 Quick Disconnect Speaker Microphone for ICOM Multi-Pin Radios (See List) | $115,Amazon,United States,SPM-610QD,B075QNPQCS,7,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Jan 03, 2026","Mar 10, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-623QD | Pryme Synergy SPM-623 Quick Disconnect Speaker Mic for Motorola GP HT MT MTS MTX (See List) | $110,Amazon,United States,SPM-623QD,B075QMRPH2,15,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Jan 02, 2026","Mar 15, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,SPM-655QD | Synergy SPM-655 Quick Disconnect Shoulder Speaker Microphone for Hytera PD702/G 752 782/G 792 PT580H Two Way Radios | $115,Amazon,United States,SPM-655QD,B075QMX7XW,23,0,0.0000%,,0,0,,,0,0,,0,0,0,0
"Feb 01, 2026","Feb 09, 2026",Pryme,USD,ITG - SP - AUTO - [Pryme - V2] - LM,"LMC-1AT-21 | Pryme Radio Earpiece, 1-Wire Surveillance Lapel Mic, LMC-1AT-21 Headset, Compatible with Kenwood ProTalk PKT-23 KHS-33 KHS-34 | $26.88",Amazon,United States,LMC-1AT-21,B0843MSZTF,4,0,0.0000%,,0,0,,,0,0,,0,0,0,0
